#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 950  40
# Band-Index:    1
   0.00000    -45.998524    -45.998509
   0.01672    -45.998521    -45.998505
   0.03344    -45.998512    -45.998497
   0.05016    -45.998499    -45.998484
   0.06688    -45.998480    -45.998465
   0.08360    -45.998457    -45.998441
   0.10032    -45.998428    -45.998413
   0.11703    -45.998394    -45.998379
   0.13375    -45.998356    -45.998341
   0.15047    -45.998313    -45.998298
   0.16719    -45.998265    -45.998250
   0.18391    -45.998214    -45.998198
   0.20063    -45.998158    -45.998143
   0.21735    -45.998099    -45.998084
   0.23407    -45.998036    -45.998021
   0.25079    -45.997971    -45.997955
   0.26751    -45.997902    -45.997887
   0.28423    -45.997829    -45.997814
   0.30095    -45.997754    -45.997739
   0.31767    -45.997677    -45.997662
   0.33438    -45.997598    -45.997583
   0.35110    -45.997518    -45.997503
   0.36782    -45.997438    -45.997423
   0.38454    -45.997356    -45.997341
   0.40126    -45.997275    -45.997259
   0.41798    -45.997191    -45.997176
   0.43470    -45.997108    -45.997093
   0.45142    -45.997025    -45.997010
   0.46814    -45.996943    -45.996928
   0.48486    -45.996863    -45.996848
   0.50158    -45.996784    -45.996769
   0.51830    -45.996708    -45.996693
   0.53502    -45.996634    -45.996618
   0.55173    -45.996562    -45.996547
   0.56845    -45.996493    -45.996477
   0.58517    -45.996426    -45.996411
   0.60189    -45.996364    -45.996349
   0.61861    -45.996304    -45.996289
   0.63533    -45.996249    -45.996234
   0.65205    -45.996198    -45.996183
   0.66877    -45.996150    -45.996135
   0.68549    -45.996107    -45.996091
   0.70221    -45.996067    -45.996052
   0.71893    -45.996033    -45.996017
   0.73565    -45.996003    -45.995988
   0.75237    -45.995979    -45.995964
   0.76909    -45.995961    -45.995946
   0.78580    -45.995949    -45.995934
   0.80252    -45.995942    -45.995927
   0.81924    -45.995940    -45.995925
   0.81924    -45.995940    -45.995925
   0.82699    -45.995940    -45.995925
   0.83475    -45.995941    -45.995926
   0.84250    -45.995942    -45.995927
   0.85025    -45.995944    -45.995929
   0.85800    -45.995946    -45.995931
   0.86575    -45.995948    -45.995933
   0.87351    -45.995951    -45.995936
   0.88126    -45.995955    -45.995940
   0.88901    -45.995959    -45.995944
   0.89676    -45.995964    -45.995949
   0.90451    -45.995969    -45.995954
   0.91226    -45.995975    -45.995960
   0.92002    -45.995982    -45.995967
   0.92777    -45.995989    -45.995974
   0.93552    -45.995996    -45.995981
   0.94327    -45.996005    -45.995989
   0.95102    -45.996013    -45.995998
   0.95877    -45.996022    -45.996007
   0.96653    -45.996031    -45.996016
   0.97428    -45.996041    -45.996026
   0.98203    -45.996051    -45.996036
   0.98978    -45.996061    -45.996046
   0.99753    -45.996072    -45.996057
   1.00529    -45.996083    -45.996068
   1.01304    -45.996095    -45.996080
   1.02079    -45.996107    -45.996091
   1.02854    -45.996119    -45.996104
   1.03629    -45.996132    -45.996117
   1.04404    -45.996145    -45.996130
   1.05180    -45.996159    -45.996144
   1.05955    -45.996173    -45.996157
   1.06730    -45.996187    -45.996172
   1.07505    -45.996201    -45.996186
   1.08280    -45.996216    -45.996201
   1.09055    -45.996232    -45.996217
   1.09831    -45.996247    -45.996232
   1.10606    -45.996263    -45.996248
   1.11381    -45.996279    -45.996264
   1.12156    -45.996295    -45.996280
   1.12931    -45.996311    -45.996296
   1.13707    -45.996328    -45.996313
   1.14482    -45.996345    -45.996330
   1.15257    -45.996361    -45.996346
   1.16032    -45.996378    -45.996363
   1.16807    -45.996395    -45.996380
   1.17582    -45.996413    -45.996398
   1.18358    -45.996430    -45.996415
   1.19133    -45.996448    -45.996433
   1.19908    -45.996466    -45.996451
   1.19908    -45.996466    -45.996451
   1.20683    -45.996448    -45.996433
   1.21458    -45.996430    -45.996415
   1.22233    -45.996413    -45.996398
   1.23009    -45.996395    -45.996380
   1.23784    -45.996378    -45.996363
   1.24559    -45.996361    -45.996346
   1.25334    -45.996345    -45.996330
   1.26109    -45.996328    -45.996313
   1.26885    -45.996311    -45.996296
   1.27660    -45.996295    -45.996280
   1.28435    -45.996279    -45.996264
   1.29210    -45.996263    -45.996248
   1.29985    -45.996247    -45.996232
   1.30760    -45.996232    -45.996217
   1.31536    -45.996216    -45.996201
   1.32311    -45.996201    -45.996186
   1.33086    -45.996187    -45.996172
   1.33861    -45.996173    -45.996157
   1.34636    -45.996159    -45.996144
   1.35411    -45.996145    -45.996130
   1.36187    -45.996132    -45.996117
   1.36962    -45.996119    -45.996104
   1.37737    -45.996107    -45.996091
   1.38512    -45.996095    -45.996080
   1.39287    -45.996083    -45.996068
   1.40063    -45.996072    -45.996057
   1.40838    -45.996061    -45.996046
   1.41613    -45.996051    -45.996036
   1.42388    -45.996041    -45.996026
   1.43163    -45.996031    -45.996016
   1.43938    -45.996022    -45.996007
   1.44714    -45.996013    -45.995998
   1.45489    -45.996005    -45.995989
   1.46264    -45.995996    -45.995981
   1.47039    -45.995989    -45.995974
   1.47814    -45.995982    -45.995967
   1.48589    -45.995975    -45.995960
   1.49365    -45.995969    -45.995954
   1.50140    -45.995964    -45.995949
   1.50915    -45.995959    -45.995944
   1.51690    -45.995955    -45.995940
   1.52465    -45.995951    -45.995936
   1.53241    -45.995948    -45.995933
   1.54016    -45.995946    -45.995931
   1.54791    -45.995944    -45.995929
   1.55566    -45.995942    -45.995927
   1.56341    -45.995941    -45.995926
   1.57116    -45.995940    -45.995925
   1.57892    -45.995940    -45.995925
   1.57892    -45.995940    -45.995925
   1.58857    -45.995940    -45.995925
   1.59822    -45.995939    -45.995924
   1.60787    -45.995938    -45.995923
   1.61753    -45.995936    -45.995921
   1.62718    -45.995934    -45.995919
   1.63683    -45.995930    -45.995915
   1.64649    -45.995926    -45.995911
   1.65614    -45.995922    -45.995907
   1.66579    -45.995917    -45.995902
   1.67544    -45.995911    -45.995896
   1.68510    -45.995905    -45.995890
   1.69475    -45.995898    -45.995883
   1.70440    -45.995890    -45.995875
   1.71406    -45.995883    -45.995868
   1.72371    -45.995875    -45.995860
   1.73336    -45.995868    -45.995853
   1.74301    -45.995860    -45.995845
   1.75267    -45.995852    -45.995836
   1.76232    -45.995843    -45.995828
   1.77197    -45.995834    -45.995819
   1.78163    -45.995825    -45.995810
   1.79128    -45.995816    -45.995801
   1.80093    -45.995806    -45.995791
   1.81058    -45.995796    -45.995781
   1.82024    -45.995786    -45.995770
   1.82989    -45.995775    -45.995760
   1.83954    -45.995765    -45.995750
   1.84920    -45.995755    -45.995739
   1.85885    -45.995744    -45.995729
   1.86850    -45.995734    -45.995719
   1.87815    -45.995724    -45.995708
   1.88781    -45.995714    -45.995699
   1.89746    -45.995704    -45.995689
   1.90711    -45.995696    -45.995680
   1.91677    -45.995687    -45.995672
   1.92642    -45.995678    -45.995663
   1.93607    -45.995670    -45.995655
   1.94572    -45.995662    -45.995647
   1.95538    -45.995655    -45.995640
   1.96503    -45.995648    -45.995633
   1.97468    -45.995642    -45.995627
   1.98434    -45.995636    -45.995621
   1.99399    -45.995631    -45.995616
   2.00364    -45.995627    -45.995611
   2.01329    -45.995623    -45.995608
   2.02295    -45.995621    -45.995605
   2.03260    -45.995619    -45.995604
   2.04225    -45.995618    -45.995603
   2.05191    -45.995618    -45.995602
   2.05191    -45.995618    -45.995602
   2.06145    -45.995618    -45.995603
   2.07100    -45.995619    -45.995603
   2.08055    -45.995620    -45.995605
   2.09009    -45.995622    -45.995607
   2.09964    -45.995625    -45.995610
   2.10919    -45.995629    -45.995613
   2.11874    -45.995633    -45.995618
   2.12828    -45.995638    -45.995623
   2.13783    -45.995644    -45.995629
   2.14738    -45.995651    -45.995636
   2.15693    -45.995659    -45.995644
   2.16647    -45.995668    -45.995652
   2.17602    -45.995677    -45.995662
   2.18557    -45.995687    -45.995672
   2.19511    -45.995698    -45.995683
   2.20466    -45.995710    -45.995695
   2.21421    -45.995723    -45.995708
   2.22376    -45.995736    -45.995721
   2.23330    -45.995750    -45.995735
   2.24285    -45.995764    -45.995749
   2.25240    -45.995780    -45.995764
   2.26194    -45.995796    -45.995781
   2.27149    -45.995813    -45.995798
   2.28104    -45.995830    -45.995815
   2.29059    -45.995848    -45.995833
   2.30013    -45.995867    -45.995852
   2.30968    -45.995887    -45.995872
   2.31923    -45.995907    -45.995892
   2.32877    -45.995928    -45.995913
   2.33832    -45.995950    -45.995934
   2.34787    -45.995972    -45.995957
   2.35742    -45.995995    -45.995980
   2.36696    -45.996019    -45.996004
   2.37651    -45.996044    -45.996028
   2.38606    -45.996069    -45.996053
   2.39561    -45.996094    -45.996079
   2.40515    -45.996120    -45.996105
   2.41470    -45.996147    -45.996132
   2.42425    -45.996174    -45.996159
   2.43379    -45.996202    -45.996186
   2.44334    -45.996229    -45.996214
   2.45289    -45.996258    -45.996242
   2.46244    -45.996286    -45.996271
   2.47198    -45.996315    -45.996300
   2.48153    -45.996344    -45.996329
   2.49108    -45.996374    -45.996359
   2.50062    -45.996404    -45.996389
   2.51017    -45.996435    -45.996420
   2.51972    -45.996466    -45.996451
   2.51972    -45.996466    -45.996451
   2.52927    -45.996435    -45.996420
   2.53881    -45.996404    -45.996389
   2.54836    -45.996374    -45.996359
   2.55791    -45.996344    -45.996329
   2.56745    -45.996315    -45.996300
   2.57700    -45.996286    -45.996271
